
2021/10/03 (16:01:39) | ===> btop++ v.1.0.13
2021/10/03 (16:01:39) | ERROR: Failed to get size of terminal!

2021/10/03 (16:01:47) | ===> btop++ v.1.0.13
2021/10/03 (16:01:47) | ERROR: Failed to get size of terminal!

2021/12/02 (20:56:30) | ===> btop++ v.1.0.13
2021/12/02 (20:56:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/04 (16:50:31) | ===> btop++ v.1.0.13
2021/12/04 (16:50:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/05 (16:58:50) | ===> btop++ v.1.0.13
2021/12/05 (16:58:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/05 (23:00:11) | ===> btop++ v.1.0.13
2021/12/05 (23:00:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/11 (18:26:40) | ===> btop++ v.1.0.13
2021/12/11 (18:26:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/13 (22:24:46) | ===> btop++ v.1.0.13
2021/12/13 (22:24:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/14 (18:42:17) | ===> btop++ v.1.0.13
2021/12/14 (18:42:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/18 (12:49:29) | ===> btop++ v.1.0.13
2021/12/18 (12:49:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/20 (15:16:25) | ===> btop++ v.1.0.13
2021/12/20 (15:16:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/22 (22:02:43) | ===> btop++ v.1.0.13
2021/12/22 (22:02:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/23 (12:05:07) | ===> btop++ v.1.0.13
2021/12/23 (12:05:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/24 (21:52:59) | ===> btop++ v.1.0.13
2021/12/24 (21:52:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/24 (22:26:03) | ===> btop++ v.1.0.13
2021/12/24 (22:26:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/30 (00:47:23) | ===> btop++ v.1.0.13
2021/12/30 (00:47:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/12/30 (00:52:53) | ===> btop++ v.1.0.13
2021/12/30 (00:52:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/01 (14:25:26) | ===> btop++ v.1.0.13
2022/01/01 (14:25:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/01 (18:44:11) | ===> btop++ v.1.0.13
2022/01/01 (18:44:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/02 (03:27:06) | ===> btop++ v.1.0.13
2022/01/02 (03:27:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/03 (17:59:40) | ===> btop++ v.1.0.13
2022/01/03 (17:59:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/03 (23:29:45) | ===> btop++ v.1.0.13
2022/01/03 (23:29:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/05 (23:43:08) | ===> btop++ v.1.0.13
2022/01/05 (23:43:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/05 (23:54:48) | ===> btop++ v.1.0.13
2022/01/05 (23:54:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/10 (21:02:09) | ===> btop++ v.1.0.13
2022/01/10 (21:02:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/19 (20:33:16) | ===> btop++ v.1.0.13
2022/01/19 (20:33:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/19 (20:34:27) | ===> btop++ v.1.0.13
2022/01/19 (20:34:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/05 (17:02:01) | ===> btop++ v.1.0.13
2022/02/05 (17:02:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/16 (17:18:45) | ===> btop++ v.1.0.13
2022/02/16 (17:18:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/17 (01:30:15) | ===> btop++ v.1.0.13
2022/02/17 (01:30:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/17 (01:37:02) | ===> btop++ v.1.0.13
2022/02/17 (01:37:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/17 (01:40:27) | ===> btop++ v.1.0.13
2022/02/17 (01:40:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/23 (17:17:16) | ===> btop++ v.1.0.13
2022/02/23 (17:17:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/08 (21:00:05) | ===> btop++ v.1.0.13
2022/03/08 (21:00:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/15 (21:33:39) | ===> btop++ v.1.0.13
2022/03/15 (21:33:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/15 (23:17:20) | ===> btop++ v.1.0.13
2022/03/15 (23:17:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/16 (15:12:05) | ===> btop++ v.1.0.13
2022/03/16 (15:12:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/16 (18:39:51) | ===> btop++ v.1.0.13
2022/03/16 (18:39:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/17 (16:03:08) | ===> btop++ v.1.0.13
2022/03/17 (16:03:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/21 (10:55:28) | ===> btop++ v.1.0.13
2022/03/21 (10:55:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/22 (21:38:56) | ===> btop++ v.1.0.13
2022/03/22 (21:38:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/25 (12:37:53) | ===> btop++ v.1.0.13
2022/03/25 (12:37:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/25 (12:38:44) | ===> btop++ v.1.0.13
2022/03/25 (12:38:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/03/28 (23:06:45) | ===> btop++ v.1.0.13
2022/03/28 (23:06:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/04/06 (18:26:18) | ===> btop++ v.1.0.13
2022/04/06 (18:26:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/04/13 (19:39:23) | ===> btop++ v.1.0.13
2022/04/13 (19:39:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/04/14 (17:38:02) | ===> btop++ v.1.0.13
2022/04/14 (17:38:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/04/17 (14:09:09) | ===> btop++ v.1.0.13
2022/04/17 (14:09:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/04/17 (15:31:19) | ===> btop++ v.1.0.13
2022/04/17 (15:31:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/04/28 (19:27:16) | ===> btop++ v.1.0.13
2022/04/28 (19:27:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/05/12 (17:55:41) | ===> btop++ v.1.0.13
2022/05/12 (17:55:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/09 (19:54:41) | ===> btop++ v.1.0.13
2022/06/09 (19:54:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/09 (20:32:25) | ===> btop++ v.1.0.13
2022/06/09 (20:32:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/09 (21:34:07) | ===> btop++ v.1.0.13
2022/06/09 (21:34:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/09 (21:42:09) | ===> btop++ v.1.0.13
2022/06/09 (21:42:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/10 (16:28:55) | ===> btop++ v.1.0.13
2022/06/10 (16:28:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/10 (18:24:30) | ===> btop++ v.1.0.13
2022/06/10 (18:24:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/10 (18:25:24) | ===> btop++ v.1.0.13
2022/06/10 (18:25:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/11 (21:58:45) | ===> btop++ v.1.0.13
2022/06/11 (21:58:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/11 (23:34:42) | ===> btop++ v.1.0.13
2022/06/11 (23:34:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/12 (16:53:03) | ===> btop++ v.1.0.13
2022/06/12 (16:53:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/13 (00:59:24) | ===> btop++ v.1.0.13
2022/06/13 (00:59:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/15 (21:04:32) | ===> btop++ v.1.0.13
2022/06/15 (21:04:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/16 (18:21:30) | ===> btop++ v.1.0.13
2022/06/16 (18:21:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/17 (17:28:20) | ===> btop++ v.1.0.13
2022/06/17 (17:28:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/18 (18:30:42) | ===> btop++ v.1.0.13
